city,communityRatingStars,fitScore,gradeRange,gsRating,id,lat,lng,maxFitScore,name,numReviews,okFit,preschool,profileUrl,reviewUrl,schoolType,state,street,strongFit,zillowUrl,zipcode
Cambridge,4,0,PK-5,7,431,42.369327545166016,-71.09781646728516,0,Cambridgeport,6,False,False,/massachusetts/cambridge/431-Cambridgeport/,/massachusetts/cambridge/431-Cambridgeport/reviews,Public district,ma,89 Elm Street,False,https://www.zillow.com/MA-02139?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2139
Boston,2,0,PK-8,4,2993,42.330570220947266,-71.07727813720703,0,Orchard Gardens K-8 School,3,False,False,/massachusetts/boston/2993-Orchard-Gardens-K-8-School/,/massachusetts/boston/2993-Orchard-Gardens-K-8-School/reviews,Public district,ma,906 Albany Street,False,https://www.zillow.com/MA-02119?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2119
Somerville,1,0,K-8,5,1492,42.38602828979492,-71.08705139160156,0,E Somerville Community,5,False,False,/massachusetts/somerville/1492-E-Somerville-Community/,/massachusetts/somerville/1492-E-Somerville-Community/reviews,Public district,ma,50 Cross Street,False,https://www.zillow.com/MA-02145?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2145
Somerville,0,0,9-12,0,1499,42.38758087158203,-71.08732604980469,0,Full Circle High School,0,False,False,/massachusetts/somerville/1499-Full-Circle-High-School/,/massachusetts/somerville/1499-Full-Circle-High-School/reviews,Public district,ma,8 Bonair Street,False,https://www.zillow.com/MA-02145?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2145
Boston,3,0,PK-8,5,300,42.332366943359375,-71.03022003173828,0,Perry K-8 School,16,False,False,/massachusetts/boston/300-Perry-K-8-School/,/massachusetts/boston/300-Perry-K-8-School/reviews,Public district,ma,745 East 7th Street,False,https://www.zillow.com/MA-02127?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2127
Boston,5,0,PK-5,2,315,42.326133728027344,-71.0713119506836,0,Mason Elementary School,3,False,False,/massachusetts/boston/315-Mason-Elementary-School/,/massachusetts/boston/315-Mason-Elementary-School/reviews,Public district,ma,150 Norfolk Avenue,False,https://www.zillow.com/MA-02119?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2119
Somerville,4,0,PK-8,5,1494,42.3792610168457,-71.09889221191406,0,Albert F. Argenziano School At Lincoln Park,14,False,False,/massachusetts/somerville/1494-Albert-F.-Argenziano-School-At-Lincoln-Park/,/massachusetts/somerville/1494-Albert-F.-Argenziano-School-At-Lincoln-Park/reviews,Public district,ma,290 Washington Street,False,https://www.zillow.com/MA-02143?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2143
Roxbury Crossing,4,0,7-12,8,233,42.33084487915039,-71.08838653564453,0,O'bryant School Math/Science,19,False,False,/massachusetts/roxbury-crossing/233-O'bryant-School-Math-Science/,/massachusetts/roxbury-crossing/233-O'bryant-School-Math-Science/reviews,Public district,ma,55 Malcolm X Boulevard,False,https://www.zillow.com/MA-02120?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2120
Boston,4,0,9-12,1,289,42.332061767578125,-71.0908432006836,0,Madison Park High,6,False,False,/massachusetts/boston/289-Madison-Park-High/,/massachusetts/boston/289-Madison-Park-High/reviews,Public district,ma,75 Malcolm X Boulevard,False,https://www.zillow.com/MA-02120?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2120
Cambridge,4,0,PK-8,9,2651,42.36285400390625,-71.10852813720703,0,The Amigos School,21,False,False,/massachusetts/cambridge/2651-The-Amigos-School/,/massachusetts/cambridge/2651-The-Amigos-School/reviews,Public district,ma,15 Upton Street,False,https://www.zillow.com/MA-02139?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2139
Boston,4,0,PK-5,5,313,42.32302474975586,-71.05834197998047,0,Clap Innovation School,5,False,False,/massachusetts/boston/313-Clap-Innovation-School/,/massachusetts/boston/313-Clap-Innovation-School/reviews,Public district,ma,35 Harvest Street,False,https://www.zillow.com/MA-02125?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2125
Boston,5,0,6-10,0,244,42.326454162597656,-71.08092498779297,0,Dearborn Middle School,2,False,False,/massachusetts/boston/244-Dearborn-Middle-School/,/massachusetts/boston/244-Dearborn-Middle-School/reviews,Public district,ma,35 Greenville Street,False,https://www.zillow.com/MA-02119?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2119
Boston,4,0,7-12,7,231,42.337852478027344,-71.10150909423828,0,Boston Latin School,50,False,False,/massachusetts/boston/231-Boston-Latin-School/,/massachusetts/boston/231-Boston-Latin-School/reviews,Public district,ma,78 Avenue Louis Pasteur,False,https://www.zillow.com/MA-02115?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2115
Somerville,5,0,9-12,6,1496,42.3868522644043,-71.0971908569336,0,Somerville High School,7,False,False,/massachusetts/somerville/1496-Somerville-High-School/,/massachusetts/somerville/1496-Somerville-High-School/reviews,Public district,ma,81 Highland Avenue,False,https://www.zillow.com/MA-02143?cbpartner=Great+Schools&utm_source=GreatSchools&utm_medium=referral&utm_campaign=schoolsearch,2143
