"geoid","AFFH.pov_idx","AFFH.lbr_idx","AFFH.haz_idx","AFFH.tcost_idx","AFFH.trans_idx","HUD.School.Index","ACS.total.housing.units","ACS.vacant.housing.units","ACS.rental.vacancy.rate","ACS.rented.units","ACS.rented.less.500","ACS.rented.500.999","ACS.rented.1000.1499","ACS.rented.1500.1999","ACS.rented.2000.2499","ACS.rented.2500.2999","ACS.rented.3000.more","ACS.multi.family.units","ACS.3.bedrooms","ACS.4.bedrooms","ACS.5.bedrooms","COI.ALLCOMPLEV","COI.ALLCOMPLEV.NUM","Region"
25027707500,69,17,88,82,26,30,2116,117,"8.3",804,166,537,101,0,0,0,0,940,726,169,49,"Low",0.25,"REGION 7"
25027708100,85,83,93,72,21,62,3051,272,"3.9",307,16,106,108,31,0,0,46,347,1422,605,120,"Moderate",0.5,"REGION 7"
25027709100,52,87,89,92,39,56,1615,86,"9.8",450,76,220,113,41,0,0,0,480,749,316,15,"High",0.75,"REGION 7"
25027709201,52,51,81,85,36,69,2834,95,"10.4",772,229,373,131,39,0,0,0,982,1235,443,78,"Moderate",0.5,"REGION 7"
25027709202,66,54,73,86,33,81,3162,149,"2.8",1477,106,673,638,60,0,0,0,1661,820,145,217,"Moderate",0.5,"REGION 7"
25027709400,28,30,71,93,37,67,2118,309,"7.7",1269,215,800,216,38,0,0,0,1625,518,120,21,"Low",0.25,"REGION 7"
25027709501,97,92,NA,75,21,35,771,37,"0",55,0,9,42,0,4,0,0,69,446,166,14,"Very High",1,"REGION 7"
25027709502,78,67,NA,89,35,46,2427,123,"0",704,17,470,194,0,23,0,0,875,771,331,77,"High",0.75,"REGION 7"
25027709600,40,24,66,92,32,46,1155,80,"9.5",687,40,350,272,25,0,0,0,874,301,47,0,"Moderate",0.5,"REGION 7"
25027709701,61,40,78,90,36,56,2563,121,"5.5",1334,307,403,566,58,0,0,0,1381,696,243,34,"Moderate",0.5,"REGION 7"
25027709702,52,44,73,93,44,67,1152,25,"3.9",590,189,230,152,9,10,0,0,761,261,140,66,"Moderate",0.5,"REGION 7"
25027710100,55,24,77,89,35,12,1550,97,"4.4",737,23,462,194,58,0,0,0,987,575,87,83,"Very Low",0,"REGION 7"
25027710200,31,58,86,88,33,14,2912,144,"5.3",870,154,325,295,64,0,32,0,929,1072,238,86,"Low",0.25,"REGION 7"
25027710300,40,33,86,79,29,15,1287,177,"8.9",298,19,100,173,6,0,0,0,468,717,166,49,"Very Low",0,"REGION 7"
25027710400,47,34,81,87,35,14,930,45,"2.7",293,17,158,81,35,2,0,0,387,436,123,19,"Low",0.25,"REGION 7"
25027710500,18,26,72,95,48,14,1563,350,"12.1",818,190,418,180,30,0,0,0,1160,411,166,25,"Very Low",0,"REGION 7"
25027710600,19,33,74,92,41,12,2905,515,"19",945,65,513,344,23,0,0,0,1615,1001,267,157,"Very Low",0,"REGION 7"
25027710700,3,2,55,97,45,12,1085,217,"9.1",817,341,381,72,23,0,0,0,1029,70,33,21,"Very Low",0,"REGION 7"
25027710800,13,8,80,92,42,17,1891,413,"14.4",988,136,545,234,66,7,0,0,1397,472,136,186,"Very Low",0,"REGION 7"
25027711000,31,41,76,93,43,8,1278,130,"4.5",606,49,345,178,34,0,0,0,742,357,163,59,"Very Low",0,"REGION 7"
25027711100,70,62,88,79,27,19,1630,101,"9.6",216,13,120,70,13,0,0,0,309,661,358,48,"Low",0.25,"REGION 7"
25027712101,51,65,87,76,22,59,2883,110,"1.7",858,153,177,222,149,157,0,0,604,939,720,12,"High",0.75,"REGION 7"
25027712102,90,92,88,71,23,59,1684,170,"0",64,0,12,35,0,17,0,0,125,682,488,100,"High",0.75,"REGION 7"
25027713100,51,38,86,78,26,53,2535,204,"7.5",446,15,173,197,61,0,0,0,352,1106,563,61,"Very High",1,"REGION 7"
25027715100,92,95,84,75,20,90,1676,57,"0",105,26,16,16,31,0,8,8,139,496,852,113,"Very High",1,"REGION 7"
25027716100,83,76,82,85,35,29,3280,261,"4.6",864,74,299,371,85,35,0,0,1176,1305,426,76,"Low",0.25,"REGION 7"
25027716200,26,64,65,90,40,29,1313,215,"11.8",647,97,276,239,28,0,7,0,820,364,103,81,"Low",0.25,"REGION 7"
